"id","book_title","book_author","book_publisher","book_publishDate","book_description","book_totalPages","book_category","book_thumbnail","book_image","book_language","book_preview","book_info","book_subtitle","book_averageRating","book_ratingCount"
"T7nuAAAAMAAJ","Hands-on Information Literacy Activities","Jane Birks, Fiona Hunt","","2003","This book (and accompanying CD-ROM) is aimed at helping secondary school and college students develop critical information literacy skills.",156,"CD-ROMs","http://books.google.com/books/content?id=T7nuAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books/content?id=T7nuAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","en","http://books.google.com/books?id=T7nuAAAAMAAJ&q=search+terms&dq=search+terms&hl=&cd=11&source=gbs_api","http://books.google.com/books?id=T7nuAAAAMAAJ&dq=search+terms&hl=&source=gbs_api","",NA,0
"gQO4kKbCuLgC","Bible Word Searches for Adults and Teens","Kathleen D. Riley","WestBow Press","2012-05","Bible Word Searches for Adults and Teens is filled with exciting facts, from A - Z, about the Word of God. It is an excellent teaching tool for readers to learn more about the Bible. There are benefits to working Word Search Puzzles: Provides inexpensive entertainment and educational benefits. Increases letter, word and pattern recognition skills. Improves vocabulary. Parents and Teachers can use word searches as an educational tool to help children with spelling practice. Seventy-five percent of Seniors have memory-related problems. Solving word search puzzles strengthens the memory and mental function, keeping the mind sharp and active. An excellent way to learn English. Helps people who have dyslexia. A good activity to do while traveling. Something to do while waiting at the doctor's office. Hours of a fun, low-stress activity for all ages to enjoy together.",253,"Religion","http://books.google.com/books/content?id=gQO4kKbCuLgC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=gQO4kKbCuLgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.com/books?id=gQO4kKbCuLgC&pg=PA209&dq=search+terms&hl=&cd=12&source=gbs_api","http://books.google.com/books?id=gQO4kKbCuLgC&dq=search+terms&hl=&source=gbs_api","",NA,0
"bLSgDgAAQBAJ","Stress Less Word Search - Cheerful Puzzles","Charles Timmerman","Simon and Schuster","1/6/17","Find your calm and happy place! Stress Less Word Search Cheerful Puzzles will inspire you to find relaxation in 100 all-new word puzzles. Finding, circling, or highlighting words in any of the 100 brand-new word search puzzles helps to quiet anxious minds in a creative, relaxing, and therapeutic way. Featuring themes such as: Go Fly a Kite Homecoming Joy Fireworks Costume Party Summer Fun in the Sun Day at the Zoo Each stress-reducing page contains an all-new puzzle featuring an engaging theme, including the outdoors, relaxing vacations, and favorite cartoon characters. Soon, you'll be able to shift focus to a relaxing and fun activity as you concentrate on finding all the words to complete the puzzle. Whether you're new to word search puzzles or have been enjoying them for years, this book will help you find inner calm and creativity--one page at a time.",128,"Games & Activities","http://books.google.com/books/content?id=bLSgDgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=bLSgDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.com/books?id=bLSgDgAAQBAJ&printsec=frontcover&dq=search+terms&hl=&cd=13&source=gbs_api","http://books.google.com/books?id=bLSgDgAAQBAJ&dq=search+terms&hl=&source=gbs_api","100 Word Search Puzzles for Fun and Relaxation",NA,0
"yXCtAAAAQBAJ","Investigating Internet Crimes","Todd G. Shipley, Art Bowker","Newnes","11/12/13","Written by experts on the frontlines, Investigating Internet Crimes provides seasoned and new investigators with the background and tools they need to investigate crime occurring in the online world. This invaluable guide provides step-by-step instructions for investigating Internet crimes, including locating, interpreting, understanding, collecting, and documenting online electronic evidence to benefit investigations. Cybercrime is the fastest growing area of crime as more criminals seek to exploit the speed, convenience and anonymity that the Internet provides to commit a diverse range of criminal activities. Today's online crime includes attacks against computer data and systems, identity theft, distribution of child pornography, penetration of online financial services, using social networks to commit crimes, and the deployment of viruses, botnets, and email scams such as phishing. Symantec's 2012 Norton Cybercrime Report stated that the world spent an estimated $110 billion to combat cybercrime, an average of nearly $200 per victim. Law enforcement agencies and corporate security officers around the world with the responsibility for enforcing, investigating and prosecuting cybercrime are overwhelmed, not only by the sheer number of crimes being committed but by a lack of adequate training material. This book provides that fundamental knowledge, including how to properly collect and document online evidence, trace IP addresses, and work undercover. Provides step-by-step instructions on how to investigate crimes online Covers how new software tools can assist in online investigations Discusses how to track down, interpret, and understand online electronic evidence to benefit investigations Details guidelines for collecting and documenting online evidence that can be presented in court",496,"Computers","http://books.google.com/books/content?id=yXCtAAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=yXCtAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.com/books?id=yXCtAAAAQBAJ&pg=PA272&dq=search+terms&hl=&cd=14&source=gbs_api","https://play.google.com/store/books/details?id=yXCtAAAAQBAJ&source=gbs_api","An Introduction to Solving Crimes in Cyberspace",NA,0
"z8WnDgAAQBAJ","The Everything Large-Print Word Search Book, Volume V","Charles Timmerman","Simon and Schuster","12/18/12","More than 2 million Everything® games books sold! Do you love a good word search, but hate the small type and tight spacing in typical word search puzzles? With 150 oversized, large-type puzzles, The Everything Large-Print Word Search Book, Volume V is for you! This all-new volume helps you avoid eyestrain while boosting vocabulary, memory, and problem-solving skills. Featuring puzzle themes including: Favorite foods Popular music Sports Plants and animals It doesn't matter if you're a word search beginner or an experienced expert, this volume is perfect for all skill levels. With The Everything Large-Print Word Search Book, Volume V, you'll have hours of puzzling fun...without having to squint!",352,"Games & Activities","http://books.google.com/books/content?id=z8WnDgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=z8WnDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.com/books?id=z8WnDgAAQBAJ&printsec=frontcover&dq=search+terms&hl=&cd=15&source=gbs_api","http://books.google.com/books?id=z8WnDgAAQBAJ&dq=search+terms&hl=&source=gbs_api","150 Super-Big Word Search Puzzles",NA,0
"0tdFAQAAIAAJ","BOTS and Other Internet Beasties","Joseph Williams","Sams","1996","Describes how to use intelligent, robot-like programs to retrieve, quantify, and present useful information from the Internet, as well as how to create and customize them. Topics include filtering agents, search engines, BargainFinder, security issues, agent mobility, robots, and manufacturing agents. The languages used to author these agents--Tcl, Telescript, and Java--are also presented. For the casual to accomplished user. The CD-ROM contains a Tcl/Tk compiler from Sun Labs, a Java Developer's Kit, and links to Tcl resources and software agents. Annotation copyrighted by Book News, Inc., Portland, OR",554,"Computers","http://books.google.com/books/content?id=0tdFAQAAIAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books/content?id=0tdFAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","en","http://books.google.com/books?id=0tdFAQAAIAAJ&q=search+terms&dq=search+terms&hl=&cd=16&source=gbs_api","http://books.google.com/books?id=0tdFAQAAIAAJ&dq=search+terms&hl=&source=gbs_api","",NA,0
"6nWzEAAAQBAJ","Plug-and-Play Visual Subgraph Query Interfaces","Sourav S. Bhowmick, Byron Choi","Springer Nature","4/17/23","This book details recent developments in the emerging area of plug-and-play (PnP) visual subgraph query interfaces (VQI). These PnP interfaces are grounded in the principles of human-computer interaction (HCI) and cognitive psychology to address long-standing limitations to bottom-up search capabilities in graph databases using traditional graph query languages, which often require domain experts and specialist programmers. This book explains how PnP interfaces go against the traditional mantra of VQI construction by taking a data-driven approach and giving end users the freedom to easily and quickly construct and maintain a VQI for any data sources without resorting to coding. The book walks readers through the intuitive PnP interface that uses templates where the underlying graph repository represents the socket and user-specified requirements represent the plug. Hence, a PnP interface enables an end user to change the socket (i.e., graph repository) or the plug (i.e., requirements) as necessary to automatically and effortlessly generate VQIs. The book argues that such a data-driven paradigm creates several benefits, including superior support for visual subgraph query construction, significant reduction in the manual cost of constructing and maintaining a VQI for any graph data source, and portability of the interface across diverse sources and querying applications. This book provides a comprehensive introduction to the notion of PnP interfaces, compares it to its classical manual counterpart, and reviews techniques for automatic construction and maintenance of these new interfaces. In synthesizing current research on plug-and-play visual subgraph query interface management, this book gives readers a snapshot of the state of the art in this topic as well as future research directions.",182,"Computers","http://books.google.com/books/content?id=6nWzEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=6nWzEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.com/books?id=6nWzEAAAQBAJ&pg=PR7&dq=search+terms&hl=&cd=17&source=gbs_api","https://play.google.com/store/books/details?id=6nWzEAAAQBAJ&source=gbs_api","",NA,0
"whJaAAAAYAAJ","West's Analysis of American Law","","","2010","",1862,"Law","http://books.google.com/books/content?id=whJaAAAAYAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books/content?id=whJaAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","en","http://books.google.com/books?id=whJaAAAAYAAJ&q=search+terms&dq=search+terms&hl=&cd=18&source=gbs_api","http://books.google.com/books?id=whJaAAAAYAAJ&dq=search+terms&hl=&source=gbs_api","",NA,0
"KZkWAAAAQBAJ","Reading Keys","Laraine E. Flemming","Cengage Learning","3/5/13","READING KEYS - the first in a three-book reading series by Laraine Flemming - offers a comprehensive introduction to reading skills and strategies, from using context clues to identifying purpose and bias. Clear, accessible explanations present reading concepts without oversimplifying the process of reading comprehension. To ensure students' understanding, reading keys or summaries follow the explanations, breaking them down into manageable chunks. Throughout each chapter, a variety of steadily more difficult exercises assess students' understanding of the material and promote improved comprehension and critical-thinking skills. This incremental approach to instruction and assessment makes it easier for beginning readers to absorb and master new information. The Fourth Edition includes new chapters on analyzing arguments and sentence relationships. In addition, there is a greater emphasis on recognizing and understanding verbal clues to meaning, new discussions on how the brain learns and remembers new information, and several new engaging readings. Important Notice: Media content referenced within the product description or the product text may not be available in the ebook version.",592,"Language Arts & Disciplines","http://books.google.com/books/content?id=KZkWAAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=KZkWAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.com/books?id=KZkWAAAAQBAJ&pg=PA31&dq=search+terms&hl=&cd=19&source=gbs_api","https://play.google.com/store/books/details?id=KZkWAAAAQBAJ&source=gbs_api","",NA,0
"qLzoWKp2JHcC","Untangling the Web","National Security Agency (NSA)","Peter Young","2013","Use the internet like a real spy. Untangling the Web is the National Security Agency's once-classified guide to finding information on the internet. From the basic to the advanced, this 650-page book offers a fascinating look at tricks the ""real spies"" use to uncover hidden (and not-so-hidden) information online. Chapters include: Google hacks Metasearch sites Custom search engines Maps & mapping Uncovering the invisible internet Beyond search engines: Specialized research tools Email lookups Finding people Researching companies A plain english guide to interworking Internet toolkits Finding ISPs Cybergeography Internet privacy and security ....and over a hundred more chapters. This quote from the authors hints at the investigative power of the techniques this book teaches: Nothing I am going to describe to you is illegal, nor does it in any way involve accessing unauthorized data, [...but] involves using publicly available search engines to access publicly available information that almost certainly was not intended for public distribution. From search strings that will reveal secret documents from South Africa ( filetype: xls site: za confidential ) to tracking down tables of Russian passwords ( filetype: xls site: ru login ), this is both an instructive and voyeuristic look at how the most powerful spy agency in the world uses Google.",650,"Computer network resources","http://books.google.com/books/content?id=qLzoWKp2JHcC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=qLzoWKp2JHcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.com/books?id=qLzoWKp2JHcC&printsec=frontcover&dq=search+terms&hl=&cd=20&source=gbs_api","http://books.google.com/books?id=qLzoWKp2JHcC&dq=search+terms&hl=&source=gbs_api","The NSA's Guide to Gathering Information on Google",1,1
"KTUxAQAAIAAJ","Minnesota Intellectual Property Review","","","2000","",632,"Copyright","http://books.google.com/books/content?id=KTUxAQAAIAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books/content?id=KTUxAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","en","http://books.google.com/books?id=KTUxAQAAIAAJ&pg=RA1-PA162&dq=search+terms&hl=&cd=21&source=gbs_api","http://books.google.com/books?id=KTUxAQAAIAAJ&dq=search+terms&hl=&source=gbs_api","",NA,0
"19krAQAAIAAJ","Guide to Resources and Services","","","1989","",2054,"Political science","http://books.google.com/books/content?id=19krAQAAIAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books/content?id=19krAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","en","http://books.google.com/books?id=19krAQAAIAAJ&q=search+terms&dq=search+terms&hl=&cd=22&source=gbs_api","http://books.google.com/books?id=19krAQAAIAAJ&dq=search+terms&hl=&source=gbs_api","Inter-university Consortium for Political and Social Research",NA,0
"a28uHQAACAAJ","Thesaurus of Suggested Search Terms for Use with Criminal Justice Abstracts","","","1994","",24,"Criminal justice abstracts","","","en","http://books.google.com/books?id=a28uHQAACAAJ&dq=search+terms&hl=&cd=23&source=gbs_api","http://books.google.com/books?id=a28uHQAACAAJ&dq=search+terms&hl=&source=gbs_api","",NA,0
"AuFKEAAAQBAJ","Go!Games Super Colossal Book of Word Search","Christy Davis","Charlesbridge Publishing","8/1/13","Love word searches? Then try this super-duper colossal collection of 365 searches—a full year’s worth of mind-melting puzzles that will (as a bonus) improve your vocabulary, too. Every page has TWO word searches on it, each with a cool theme, like ""File Extensions"" and ""Fountains"" or ""Jelly Beans"" and ""Letter Order."" See how many ""Movie Stars"" (Damon, Diesel, Streep) catch your eye or fun ""Onomatopoeia"" words you can circle—boom, buzz, clang, click, gurgle, hiccup, honk. Experts who want something really challenging will find what they want here, too. ""Conifer"" includes such tree names as bristlecone, loblolly, and tamarack, while ""Quantum Mechanics"" offers bosons, fermions, and isobar. And for something a little unusual, there’s even a ""Minnesota Zip Code"" puzzle, where you look for groups of numbers. But the truly brain-busting ones come at the end of the book, when the puzzles veer from the standard to the really challenging, and some even have no word list at all. They’re hard, they’re tough . . . and they’re wildly entertaining!",0,"Games & Activities","http://books.google.com/books/content?id=AuFKEAAAQBAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books/content?id=AuFKEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","en","http://books.google.com/books?id=AuFKEAAAQBAJ&dq=search+terms&hl=&cd=24&source=gbs_api","http://books.google.com/books?id=AuFKEAAAQBAJ&dq=search+terms&hl=&source=gbs_api","365 Great Puzzles",NA,0
"SYEnAAAAQBAJ","Word-Processing Technology in Japan","Nanette Gottlieb","Routledge","9/5/13","This book deals with a topical issue relating to the use of script in Japan, one which has the potential to reshape future script policy through the mediation of both orthographic practices and social relations. It tells the story of the impact of one of the most significant technological breakthroughs in Japan in the latter part of this century: the invention and rapid adoption of word-processing technology capable of handling Japanese script in a society where the nature of that script had previously mandated handwriting as the norm. The ramifications of this technology in both the business and personal spheres have been wide-ranging, extending from changes to business practices, work profiles, orthography and social attitudes to writing through to Japan's ability to construct a substantial presence on the Internet in recent years.",219,"Social Science","http://books.google.com/books/content?id=SYEnAAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=SYEnAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.com/books?id=SYEnAAAAQBAJ&pg=PA78&dq=search+terms&hl=&cd=25&source=gbs_api","https://play.google.com/store/books/details?id=SYEnAAAAQBAJ&source=gbs_api","Kanji and the Keyboard",NA,0
